animal,time,group,Y,data_category,limit,censoring,inoculum,data_category_names
BO413,11,Non H6 50AID50,6.170861788,1,.,0,50,RNA_VL
BO413,28,Non H6 50AID50,3.281,2,.,0,50,DNA_blood
AV979,21,Non H6 50AID50,6.175753953,1,.,0,50,RNA_VL
BO413,36,Non H6 50AID50,3.332,2,.,0,50,DNA_blood
BC179,15,Non H6 5AID50,6.176543472,1,.,0,5,RNA_VL
BC657,15,H6 50AID50,6.200111181,1,.,0,50,RNA_VL
BO413,57,Non H6 50AID50,3.252,2,.,0,50,DNA_blood
BC179,17,Non H6 5AID50,6.228035916,1,.,0,5,RNA_VL
BB598,14,Non H6 50AID50,6.243475839,1,.,0,50,RNA_VL
BO413,105,Non H6 50AID50,3.185,2,.,0,50,DNA_blood
AV979,14,Non H6 50AID50,6.249156134,1,.,0,50,RNA_VL
BO413,169,Non H6 50AID50,2.675,2,.,0,50,DNA_blood
BD885,14,Non H6 50AID50,6.380681144,1,.,0,50,RNA_VL
BC657,11,H6 50AID50,6.410705504,1,.,0,50,RNA_VL
BL669,11,Non H6 50AID50,6.424001345,1,.,0,50,RNA_VL
AV979,15,Non H6 50AID50,6.425253541,1,.,0,50,RNA_VL
BA081,11,H6 50AID50,6.536812902,1,.,0,50,RNA_VL
BO413,336,Non H6 50AID50,2.494,2,.,1,50,DNA_blood
BA081,14,H6 50AID50,6.621504982,1,.,0,50,RNA_VL
31041,11,H6 50AID50,6.661450874,1,.,0,50,RNA_VL
31041,14,H6 50AID50,6.735100455,1,.,0,50,RNA_VL
