animal,time,group,Y,data_category,limit,censoring,inoculum,data_category_names
AV979,7,Non H6 50AID50,2.720381023,1,.,0,50,RNA_VL
BB598,7,Non H6 50AID50,1.23,2,.,1,50,DNA_blood
29915,535,H6 50AID50,2.723905967,1,.,0,50,RNA_VL
BL669,504,Non H6 50AID50,2.726916601,1,.,0,50,RNA_VL
29915,57,H6 50AID50,2.748188027,1,.,0,50,RNA_VL
BD536,70,Non H6 5AID50,2.763427994,1,.,0,5,RNA_VL
BB598,15,Non H6 50AID50,3.659,2,.,0,50,DNA_blood
BC657,224,H6 50AID50,2.768777068,1,.,0,50,RNA_VL
29925,28,H6 50AID50,2.768962381,1,.,0,50,RNA_VL
BC179,36,Non H6 5AID50,2.807369753,1,.,0,5,RNA_VL
31041,511,H6 50AID50,2.816799256,1,.,0,50,RNA_VL
BB598,28,Non H6 50AID50,3.718,2,.,0,50,DNA_blood
BO413,336,Non H6 50AID50,2.830912458,1,.,0,50,RNA_VL
BB598,36,Non H6 50AID50,3.575,2,.,0,50,DNA_blood
BO186,70,Non H6 5AID50,2.838849091,1,.,0,5,RNA_VL
31041,464,H6 50AID50,2.88981156,1,.,0,50,RNA_VL
BB598,57,Non H6 50AID50,3.606,2,.,0,50,DNA_blood
BO413,224,Non H6 50AID50,2.896325456,1,.,0,50,RNA_VL
BL669,464,Non H6 50AID50,2.913576869,1,.,0,50,RNA_VL
BB598,105,Non H6 50AID50,3.133,2,.,0,50,DNA_blood
BO413,464,Non H6 50AID50,2.916519008,1,.,0,50,RNA_VL
BB598,169,Non H6 50AID50,2.908,2,.,0,50,DNA_blood
BL669,253,Non H6 50AID50,2.967845197,1,.,0,50,RNA_VL
BL669,169,Non H6 50AID50,2.980298127,1,.,0,50,RNA_VL
BO413,169,Non H6 50AID50,3.0247676,1,.,0,50,RNA_VL
BB598,7,Non H6 50AID50,3.029258954,1,.,0,50,RNA_VL
BC094,9,Non H6 5AID50,3.053951625,1,.,0,5,RNA_VL
BB598,336,Non H6 50AID50,2.56,2,.,1,50,DNA_blood
BO413,504,Non H6 50AID50,3.067970457,1,.,0,50,RNA_VL
BL669,224,Non H6 50AID50,3.06800852,1,.,0,50,RNA_VL
31041,423,H6 50AID50,3.070428219,1,.,0,50,RNA_VL
BC657,7,H6 50AID50,3.07598121,1,.,0,50,RNA_VL
BD536,57,Non H6 5AID50,3.079181246,1,.,0,5,RNA_VL
BC094,7,Non H6 5AID50,0.903,2,.,1,5,DNA_blood
29925,24,H6 50AID50,3.094760164,1,.,0,50,RNA_VL
BD536,24,Non H6 5AID50,3.10237322,1,.,0,5,RNA_VL
BD536,7,Non H6 5AID50,3.109962532,1,.,0,5,RNA_VL
BO413,192,Non H6 50AID50,3.132209794,1,.,0,50,RNA_VL
BC094,15,Non H6 5AID50,3.274,2,.,0,5,DNA_blood
31041,504,H6 50AID50,3.144076071,1,.,0,50,RNA_VL
31041,336,H6 50AID50,3.186914781,1,.,0,50,RNA_VL
BO413,253,Non H6 50AID50,3.193824939,1,.,0,50,RNA_VL
BC657,70,H6 50AID50,3.204119983,1,.,0,50,RNA_VL
BC094,28,Non H6 5AID50,3.179,2,.,0,5,DNA_blood
BB598,105,Non H6 50AID50,3.206754041,1,.,0,50,RNA_VL
BC094,36,Non H6 5AID50,2.959,2,.,0,5,DNA_blood
BG927,7,Non H6 50AID50,3.228748876,1,.,0,50,RNA_VL
BC094,24,Non H6 5AID50,3.234494024,1,.,0,5,RNA_VL
BC094,57,Non H6 5AID50,2.033,2,.,0,5,DNA_blood
BO413,105,Non H6 50AID50,3.282206769,1,.,0,50,RNA_VL
BC179,42,Non H6 5AID50,3.32766558,1,.,0,5,RNA_VL
BC094,105,Non H6 5AID50,2.013,2,.,0,5,DNA_blood
BL669,192,Non H6 50AID50,3.349808431,1,.,0,50,RNA_VL
BC094,169,Non H6 5AID50,1.908,2,.,0,5,DNA_blood
BB598,169,Non H6 50AID50,3.386120165,1,.,0,50,RNA_VL
BA209,42,H6 50AID50,3.391142205,1,.,0,50,RNA_VL
BC657,57,H6 50AID50,3.397940009,1,.,0,50,RNA_VL
29915,43,H6 50AID50,3.426135172,1,.,0,50,RNA_VL
BC657,192,H6 50AID50,3.475235387,1,.,0,50,RNA_VL
BC094,336,Non H6 5AID50,1.362,2,.,1,5,DNA_blood
BC179,11,Non H6 5AID50,3.531719199,1,.,0,5,RNA_VL
BD885,7,Non H6 50AID50,3.552221535,1,.,0,50,RNA_VL
BG927,57,Non H6 50AID50,3.562578812,1,.,0,50,RNA_VL
BD536,28,Non H6 5AID50,3.622794599,1,.,0,5,RNA_VL
BC179,7,Non H6 5AID50,1.362,2,.,1,5,DNA_blood
BC179,28,Non H6 5AID50,3.652164153,1,.,0,5,RNA_VL
31041,105,H6 50AID50,3.670806811,1,.,0,50,RNA_VL
29915,7,H6 50AID50,3.67437087,1,.,0,50,RNA_VL
BO186,57,Non H6 5AID50,3.69019608,1,.,0,5,RNA_VL
BC179,15,Non H6 5AID50,3.638,2,.,0,5,DNA_blood
29925,11,H6 50AID50,3.743840838,1,.,0,50,RNA_VL
31041,253,H6 50AID50,3.778711914,1,.,0,50,RNA_VL
BD885,224,Non H6 50AID50,3.786070497,1,.,0,50,RNA_VL
BB598,28,Non H6 50AID50,3.790906949,1,.,0,50,RNA_VL
BC179,28,Non H6 5AID50,4.506,2,.,0,5,DNA_blood
BA209,36,H6 50AID50,3.811649739,1,.,0,50,RNA_VL
BC179,36,Non H6 5AID50,3.493,2,.,0,5,DNA_blood
BO413,70,Non H6 50AID50,3.835715896,1,.,0,50,RNA_VL
BB598,253,Non H6 50AID50,3.840551688,1,.,0,50,RNA_VL
BC179,57,Non H6 5AID50,2.823,2,.,0,5,DNA_blood
AV979,434,Non H6 50AID50,3.843135869,1,.,0,50,RNA_VL
BB598,224,Non H6 50AID50,3.845100733,1,.,0,50,RNA_VL
BC179,105,Non H6 5AID50,2.378,2,.,0,5,DNA_blood
BC179,169,Non H6 5AID50,3.864739549,1,.,0,5,RNA_VL
BC179,169,Non H6 5AID50,2.831,2,.,0,5,DNA_blood
BD885,70,Non H6 50AID50,3.866032424,1,.,0,50,RNA_VL
BA081,42,H6 50AID50,3.877781773,1,.,0,50,RNA_VL
BC657,42,H6 50AID50,3.897555401,1,.,0,50,RNA_VL
BD885,253,Non H6 50AID50,3.923635808,1,.,0,50,RNA_VL
31041,70,H6 50AID50,3.944716432,1,.,0,50,RNA_VL
BC179,336,Non H6 5AID50,1.973,2,.,0,5,DNA_blood
BO413,21,Non H6 50AID50,3.953101289,1,.,0,50,RNA_VL
BB598,192,Non H6 50AID50,3.956968538,1,.,0,50,RNA_VL
BD885,192,Non H6 50AID50,3.97346867,1,.,0,50,RNA_VL
BD885,169,Non H6 50AID50,3.973591882,1,.,0,50,RNA_VL
BC657,7,H6 50AID50,0.778,2,.,1,50,DNA_blood
31041,57,H6 50AID50,3.988007649,1,.,0,50,RNA_VL
31041,42,H6 50AID50,4.02050648,1,.,0,50,RNA_VL
BO186,7,Non H6 5AID50,4.027251784,1,.,0,5,RNA_VL
29915,36,H6 50AID50,4.038565894,1,.,0,50,RNA_VL
BC657,15,H6 50AID50,4.075,2,.,0,50,DNA_blood
BD885,336,Non H6 50AID50,4.039281619,1,.,0,50,RNA_VL
31041,7,H6 50AID50,4.045239151,1,.,0,50,RNA_VL
31041,192,H6 50AID50,4.062838313,1,.,0,50,RNA_VL
AV979,9,Non H6 50AID50,4.068584857,1,.,0,50,RNA_VL
BC657,28,H6 50AID50,3.25,2,.,0,50,DNA_blood
BB598,36,Non H6 50AID50,4.07915498,1,.,0,50,RNA_VL
BC657,36,H6 50AID50,3.606,2,.,0,50,DNA_blood
BB598,57,Non H6 50AID50,4.107122527,1,.,0,50,RNA_VL
31041,224,H6 50AID50,4.110140394,1,.,0,50,RNA_VL
BC657,57,H6 50AID50,3.116,2,.,0,50,DNA_blood
BO413,57,Non H6 50AID50,4.115820108,1,.,0,50,RNA_VL
BC179,24,Non H6 5AID50,4.127453784,1,.,0,5,RNA_VL
31041,169,H6 50AID50,4.137592219,1,.,0,50,RNA_VL
BC657,169,H6 50AID50,3.035,2,.,0,50,DNA_blood
BD885,514,Non H6 50AID50,4.146985227,1,.,0,50,RNA_VL
BB598,70,Non H6 50AID50,4.153180684,1,.,0,50,RNA_VL
BD885,464,Non H6 50AID50,4.163022076,1,.,0,50,RNA_VL
BD885,504,Non H6 50AID50,4.167914182,1,.,0,50,RNA_VL
BD885,493,Non H6 50AID50,4.183211369,1,.,0,50,RNA_VL
BC657,336,H6 50AID50,2.599,2,.,0,50,DNA_blood
BC094,21,Non H6 5AID50,4.183943165,1,.,0,5,RNA_VL
BL669,7,Non H6 50AID50,4.201620641,1,.,0,50,RNA_VL
BB598,336,Non H6 50AID50,4.20318723,1,.,0,50,RNA_VL
BO413,7,Non H6 50AID50,4.207547911,1,.,0,50,RNA_VL
BB598,42,Non H6 50AID50,4.207854603,1,.,0,50,RNA_VL
BD536,7,Non H6 5AID50,1.892,2,.,0,5,DNA_blood
BB598,423,Non H6 50AID50,4.217837892,1,.,0,50,RNA_VL
BD885,105,Non H6 50AID50,4.222320003,1,.,0,50,RNA_VL
BG927,70,Non H6 50AID50,4.240589088,1,.,0,50,RNA_VL
AV979,442,Non H6 50AID50,4.285843709,1,.,0,50,RNA_VL
BD536,15,Non H6 5AID50,2.996,2,.,0,5,DNA_blood
BG927,28,Non H6 50AID50,4.288397377,1,.,0,50,RNA_VL
BB598,9,Non H6 50AID50,4.289624403,1,.,0,50,RNA_VL
BL669,70,Non H6 50AID50,4.294729818,1,.,0,50,RNA_VL
BA209,7,H6 50AID50,4.310802455,1,.,0,50,RNA_VL
BD536,28,Non H6 5AID50,3.75,2,.,0,5,DNA_blood
BD885,57,Non H6 50AID50,4.333486512,1,.,0,50,RNA_VL
BD536,36,Non H6 5AID50,3.55,2,.,0,5,DNA_blood
BG927,42,Non H6 50AID50,4.335516999,1,.,0,50,RNA_VL
BO186,28,Non H6 5AID50,4.337782935,1,.,0,5,RNA_VL
BD536,57,Non H6 5AID50,3.115,2,.,0,5,DNA_blood
