lambda_pop,0.127,0.000343,0.00257,-0.00156,0.0135,-0.00877,0.00487,0.00224,0.000153,0.00455,6.43e-05,0.00336,0.00373,-0.00166,-0.00469,-0.00106,0.000648,-0.00145,-0.000129,-0.00155
beta_prime_exp_pop,0.000343,0.000219,0.000884,0.000115,0.00102,-0.000346,0.000997,-0.000559,3.54e-05,-0.000386,2.63e-05,0.000719,0.000149,8.75e-06,-0.00119,8.54e-05,0.000154,-0.000281,1.82e-05,-3.36e-05
fD_pop,0.00257,0.000884,0.00657,0.000327,0.00663,-0.00339,0.00572,-0.00308,0.000241,-0.00233,0.000113,0.00404,0.0007,0.000201,-0.00648,0.000175,0.000922,-0.00155,8.04e-05,-7.17e-05
lambdaEstr_exp_pop,-0.00156,0.000115,0.000327,0.00652,-0.00158,0.00228,-0.000671,-0.00286,1.96e-05,-0.000534,2.38e-05,0.00036,-0.000532,4.61e-05,0.00076,0.00222,-5.98e-05,8.05e-05,2e-07,-1.99e-05
dD_pop,0.0135,0.00102,0.00663,-0.00158,0.0729,-0.0278,0.0144,-0.00612,0.000342,-0.00705,0.000343,0.0108,0.00373,0.000745,-0.0144,-0.00174,0.003,-0.00563,-0.000122,-0.000718
r_pop,-0.00877,-0.000346,-0.00339,0.00228,-0.0278,0.0662,-0.0101,0.00619,-0.000163,0.00292,-0.000317,-0.00825,-0.000143,-0.00512,0.00987,0.00144,-0.00246,0.00475,3e-06,-0.000662
alphaE_pop,0.00487,0.000997,0.00572,-0.000671,0.0144,-0.0101,0.0221,-0.0098,0.000278,-0.00203,0.000234,0.0112,0.00255,0.00407,-0.0162,0.000417,0.00191,-0.00318,0.000252,0.000182
omega_exp_pop,0.00224,-0.000559,-0.00308,-0.00286,-0.00612,0.00619,-0.0098,0.0254,-0.000148,0.000659,-0.000173,-0.00567,0.00106,-0.00204,0.00603,-0.00324,-0.00101,0.00156,-0.000194,-0.000874
T0_exp_pop,0.000153,3.54e-05,0.000241,1.96e-05,0.000342,-0.000163,0.000278,-0.000148,1.53e-05,-0.000118,5.95e-06,0.000195,2.76e-05,-4.7e-06,-0.000319,7.96e-06,4.61e-05,-7.36e-05,3.74e-06,-9.84e-06
omega_lambda,0.00455,-0.000386,-0.00233,-0.000534,-0.00705,0.00292,-0.00203,0.000659,-0.000118,0.0699,-6.47e-05,-0.00214,-0.00227,0.000441,0.0039,0.0018,-0.00147,0.00327,0.000293,0.000896
omega_fD,6.43e-05,2.63e-05,0.000113,2.38e-05,0.000343,-0.000317,0.000234,-0.000173,5.95e-06,-6.47e-05,0.0011,0.000168,7.01e-05,0.000272,-0.000156,4.17e-06,4.63e-05,-0.000129,2.81e-06,-7.42e-05
omega_lambdaEstr_exp,0.00336,0.000719,0.00404,0.00036,0.0108,-0.00825,0.0112,-0.00567,0.000195,-0.00214,0.000168,0.0125,0.00265,0.00101,-0.00963,0.000529,0.00122,-0.00215,6.77e-05,6.97e-05
omega_dD,0.00373,0.000149,0.0007,-0.000532,0.00373,-0.000143,0.00255,0.00106,2.76e-05,-0.00227,7.01e-05,0.00265,0.0342,0.000426,-0.00318,-0.000614,0.000303,-0.00101,-5.7e-05,-0.000271
omega_r,-0.00166,8.75e-06,0.000201,4.61e-05,0.000745,-0.00512,0.00407,-0.00204,-4.7e-06,0.000441,0.000272,0.00101,0.000426,0.0452,-0.00618,0.000696,0.000591,-0.00126,9.48e-05,-0.000459
omega_alphaE,-0.00469,-0.00119,-0.00648,0.00076,-0.0144,0.00987,-0.0162,0.00603,-0.000319,0.0039,-0.000156,-0.00963,-0.00318,-0.00618,0.0211,-0.000413,-0.00203,0.00335,-0.000285,4.04e-05
omega_omega_exp,-0.00106,8.54e-05,0.000175,0.00222,-0.00174,0.00144,0.000417,-0.00324,7.96e-06,0.0018,4.17e-06,0.000529,-0.000614,0.000696,-0.000413,0.0132,-0.000196,0.000287,0.000111,9.14e-05
a1,0.000648,0.000154,0.000922,-5.98e-05,0.003,-0.00246,0.00191,-0.00101,4.61e-05,-0.00147,4.63e-05,0.00122,0.000303,0.000591,-0.00203,-0.000196,0.000971,-0.000754,-9.88e-06,-9.82e-05
a2,-0.00145,-0.000281,-0.00155,8.05e-05,-0.00563,0.00475,-0.00318,0.00156,-7.36e-05,0.00327,-0.000129,-0.00215,-0.00101,-0.00126,0.00335,0.000287,-0.000754,0.00376,3.62e-05,0.000256
a3,-0.000129,1.82e-05,8.04e-05,2e-07,-0.000122,3e-06,0.000252,-0.000194,3.74e-06,0.000293,2.81e-06,6.77e-05,-5.7e-05,9.48e-05,-0.000285,0.000111,-9.88e-06,3.62e-05,0.000331,-0.00029
b3,-0.00155,-3.36e-05,-7.17e-05,-1.99e-05,-0.000718,-0.000662,0.000182,-0.000874,-9.84e-06,0.000896,-7.42e-05,6.97e-05,-0.000271,-0.000459,4.04e-05,9.14e-05,-9.82e-05,0.000256,-0.00029,0.00471
